SOC2018_Code,SOC2018_Occupation_Title,Automation_Probability,Active Learning,Active Listening,Complex Problem Solving,Coordination,Critical Thinking,Equipment Maintenance,Equipment Selection,Installation,Instructing,Judgment and Decision Making,Learning Strategies,Management of Financial Resources,Management of Material Resources,Management of Personnel Resources,Mathematics,Monitoring,Negotiation,Operation and Control,Operations Analysis,Operations Monitoring,Persuasion,Programming,Quality Control Analysis,Reading Comprehension,Repairing,Science,Service Orientation,Social Perceptiveness,Speaking,Systems Analysis,Systems Evaluation,Technology Design,Time Management,Troubleshooting,Writing
11-1011,Chief Executives,0.02,3.75,4.0,4.19,4.0,4.25,1.0,1.12,1.0,3.32,4.31,3.25,3.56,3.12,3.68,3.06,3.88,3.62,1.94,3.0,2.0,3.94,1.82,1.88,4.06,1.0,1.87,3.18,4.0,4.12,4.0,4.06,1.82,3.69,1.25,4.12
11-1021,General and Operations Managers,0.16,3.62,4.0,3.62,3.88,3.88,1.0,1.0,1.0,3.0,3.62,3.0,3.0,3.12,3.75,2.62,4.0,3.5,1.88,2.5,2.25,3.62,1.5,2.38,4.0,1.0,1.5,3.25,3.75,4.0,3.12,3.12,1.5,3.62,1.75,3.5
11-2011,Advertising and Promotions Managers,0.04,3.25,4.12,3.5,3.5,4.0,1.0,1.12,1.0,2.88,3.75,3.0,2.75,2.62,3.12,3.0,3.25,3.12,1.0,2.75,1.62,3.38,1.75,1.62,3.75,1.0,1.62,3.12,4.0,4.0,3.12,3.12,1.75,3.5,1.0,3.75
11-2021,Marketing Managers,0.01,3.88,3.88,3.62,3.5,3.88,1.0,1.0,1.0,3.0,3.75,3.12,2.88,2.62,3.38,2.75,3.75,3.62,1.0,3.38,1.75,3.75,1.88,1.88,3.88,1.0,1.75,3.12,3.88,3.88,3.25,3.5,1.75,3.5,1.0,3.25
11-2022,Sales Managers,0.01,3.75,4.0,3.75,3.75,3.88,1.0,1.0,1.0,3.75,3.88,3.12,3.0,2.75,3.88,3.0,3.88,4.0,1.75,2.62,1.75,3.88,1.62,1.75,3.88,1.0,1.62,3.62,3.88,4.0,3.62,3.62,1.5,3.75,1.0,3.62
11-2033,Fundraising Managers,0.02,3.38,4.0,3.62,3.75,4.12,1.0,1.0,1.0,2.62,3.75,2.62,3.25,2.62,3.12,3.0,3.12,3.38,1.12,2.0,1.75,4.0,1.88,1.25,3.88,1.0,1.25,3.38,4.0,4.12,3.12,3.0,1.75,3.5,1.0,3.88
11-3012,Administrative Services Managers,0.73,3.12,4.0,3.25,3.75,3.75,1.0,1.12,1.0,3.0,3.25,3.0,2.88,2.88,3.38,2.25,3.38,3.62,1.62,2.75,2.25,3.0,1.38,2.25,4.0,1.0,1.0,3.25,3.25,3.88,3.12,2.75,1.5,4.0,1.88,3.75
11-3013,Facilities Managers,0.73,3.37,3.94,3.69,3.75,4.0,2.06,2.12,1.06,3.32,3.81,3.19,3.06,3.0,3.62,2.62,3.88,3.19,2.12,2.06,2.56,3.25,1.62,2.69,3.94,2.0,1.44,3.19,3.81,3.94,3.12,3.19,1.62,3.44,2.31,3.5
11-3021,Computer and Information Systems Managers,0.04,3.38,4.0,3.75,3.75,4.12,1.38,1.88,1.0,3.12,3.88,3.25,3.0,2.75,3.62,3.12,3.88,3.0,2.0,3.12,2.88,3.12,2.75,2.75,4.0,1.5,1.75,2.88,3.62,3.88,3.62,3.62,2.5,3.38,2.5,3.75
11-3031,Financial Managers,0.07,3.62,3.96,3.83,3.37,4.04,1.0,1.08,1.0,2.92,3.87,2.96,3.29,2.46,3.21,3.54,3.71,3.08,1.08,2.12,1.88,3.17,1.75,1.75,4.04,1.0,1.17,3.08,3.25,3.96,3.21,3.29,1.71,3.42,1.08,3.66
11-3051,Industrial Production Managers,0.03,3.46,3.86,3.62,3.73,3.9,2.17,1.98,1.04,3.25,3.81,3.35,3.08,3.0,3.69,3.17,3.88,3.06,2.98,2.33,3.23,3.14,1.87,3.2,3.9,2.06,2.5,3.04,3.36,3.92,3.4,3.31,1.85,3.64,2.65,3.5
11-3061,Purchasing Managers,0.03,3.25,4.0,3.5,3.75,3.75,1.0,1.0,1.0,3.38,3.75,3.0,3.25,3.25,4.0,3.12,3.88,3.88,1.0,2.62,2.0,3.62,1.88,2.12,3.88,1.0,1.0,3.5,3.88,4.0,3.5,3.12,1.88,3.88,2.0,3.88
11-3071,"Transportation, Storage, and Distribution Managers",0.59,3.68,3.94,3.75,3.88,3.75,1.06,1.06,1.06,3.37,3.75,3.19,2.88,3.38,3.32,2.88,3.88,3.68,1.44,2.31,2.44,3.56,1.68,2.25,3.94,1.0,1.06,3.18,3.5,3.81,3.68,3.69,1.94,3.81,1.75,3.75
11-3111,Compensation and Benefits Managers,0.96,3.75,4.0,3.38,3.12,3.88,1.0,1.0,1.0,3.0,3.88,3.0,3.25,1.88,3.62,3.0,3.38,3.12,1.0,2.75,1.5,3.0,1.75,1.5,4.0,1.0,1.0,3.12,3.5,4.0,3.25,3.25,1.5,3.62,1.0,4.0
