Active Learning,Active Listening,Complex Problem Solving,Coordination,Critical Thinking,Equipment Maintenance,Equipment Selection,Installation,Instructing,Judgment and Decision Making,Learning Strategies,Management of Financial Resources,Management of Material Resources,Management of Personnel Resources,Mathematics,Monitoring,Negotiation,Operation and Control,Operations Analysis,Operations Monitoring,Persuasion,Programming,Quality Control Analysis,Reading Comprehension,Repairing,Science,Service Orientation,Social Perceptiveness,Speaking,Systems Analysis,Systems Evaluation,Technology Design,Time Management,Troubleshooting,Writing,Automation_Probability,Cluster
3.88,3.88,3.94,2.94,4.0,1.0,1.25,1.0,3.0,3.69,3.25,1.82,1.75,2.5,4.75,3.0,2.0,1.06,2.94,1.75,2.62,3.19,1.88,4.0,1.0,3.75,2.5,2.82,3.94,3.06,3.06,1.62,3.0,1.0,3.82,0.22,2
2.5,2.88,2.62,2.75,3.0,2.88,2.12,1.75,1.88,2.88,2.0,1.75,1.88,1.88,2.0,3.12,2.0,3.75,1.75,3.75,1.88,1.0,2.62,3.0,2.88,1.0,2.5,2.75,3.0,2.12,2.0,1.38,3.0,3.0,2.75,0.79,1
2.38,3.12,2.38,2.88,3.0,1.75,2.0,1.0,2.62,3.0,2.25,1.75,1.88,2.62,2.25,3.0,2.25,2.25,1.12,2.5,2.25,1.0,2.12,2.38,1.75,1.0,2.75,2.88,3.0,1.62,1.62,1.25,2.88,2.25,2.12,0.94,3
2.12,2.88,2.5,2.25,2.62,1.12,1.12,1.0,2.12,2.75,2.0,1.25,1.5,2.25,2.0,2.75,2.0,2.25,1.25,2.25,2.12,1.0,2.25,2.75,1.0,1.0,2.25,2.75,2.88,2.0,2.0,1.0,2.88,2.0,2.12,0.64,3
3.62,4.0,4.0,3.75,4.0,1.0,1.0,1.0,3.0,4.0,3.0,2.25,2.25,3.0,3.0,3.38,3.12,2.0,2.0,2.75,3.12,1.88,2.12,4.0,1.0,3.88,3.0,3.25,4.0,3.25,3.0,2.0,3.38,1.62,3.88,0.3,2
2.75,3.0,3.0,2.75,3.25,3.38,2.38,1.88,2.38,3.12,2.38,1.38,1.38,2.62,2.0,3.0,2.0,3.88,1.88,3.88,2.12,1.0,2.88,2.75,3.12,1.38,2.38,2.75,3.0,2.12,2.12,1.62,3.0,3.25,2.12,0.54,1
2.75,2.88,2.88,2.75,3.0,2.88,3.0,1.62,2.25,3.0,2.25,1.75,1.75,2.5,2.88,3.12,2.0,3.12,3.0,3.5,2.25,1.62,3.38,2.88,2.88,1.38,2.38,2.62,3.0,2.0,2.25,1.88,3.0,3.0,2.38,0.92,1
3.25,4.0,3.12,3.12,3.25,1.75,2.12,1.0,3.12,3.12,2.88,1.88,1.88,2.62,2.25,3.75,2.25,2.12,1.88,2.75,3.0,1.75,2.62,3.25,1.62,2.38,3.25,3.75,3.75,2.75,2.75,1.88,3.0,2.12,3.25,0.02,0
2.0,3.12,2.25,3.0,2.62,1.88,1.5,1.0,2.0,2.38,2.0,1.5,1.5,1.75,1.75,3.0,1.88,2.12,1.62,2.12,2.0,1.25,2.0,2.75,1.25,1.25,3.25,3.25,3.0,2.0,1.88,1.25,2.38,2.0,2.25,0.37,3
2.12,2.75,2.12,3.0,2.75,1.0,1.25,1.0,2.12,2.12,2.12,1.62,1.88,2.12,1.88,2.75,2.12,1.62,1.12,2.0,2.12,1.0,2.0,2.62,1.0,1.0,3.12,2.88,2.75,2.0,2.0,1.0,3.0,1.88,2.12,0.69,3
3.0,3.62,3.12,3.5,3.75,2.0,1.88,1.12,3.12,3.38,3.5,1.75,2.12,3.75,3.0,3.62,2.5,2.75,1.75,2.75,2.75,1.62,2.62,3.25,2.0,1.5,2.88,3.25,3.62,3.0,2.75,1.75,3.62,2.38,3.12,0.07,0
3.38,4.12,3.38,3.88,3.88,1.0,1.0,1.0,3.0,3.5,2.88,1.88,1.75,2.62,2.0,3.0,3.25,1.0,2.75,1.62,3.75,1.38,1.38,4.0,1.0,1.5,3.12,4.0,4.12,3.12,3.25,1.75,3.88,1.0,4.0,0.18,2
